Address,Asking Price,Beds,Baths,Property Type,Energy Rating,Eircode,Local Property Tax,Agency Name,Agency Contact,Price Changes,URL
"62 Drumfinn Avenue, Ballyfermot, Ballyfermot, Dublin 10, D10FX03","€285,000",3 Bed,1 Bath,Terrace,D2,D10 FX03,€315,Berkeley & Associates,Berkeley & Associates,"Sold, €350,000, Thu Sep 05 2024; Sale Agreed, €285,000, Wed Apr 24 2024; Created, €285,000, Fri Apr 05 2024",https://mynest.ie/listing/123673/Dublin/62-drumfinn-avenue-ballyfermot-ballyfermot-dublin-10-d10fx03
"58 Holywell Crescent South, Swords, Co Dublin","€295,000",3 Bed,3 Bath,Duplex,B3,K67 HX56,€315,Sherry FitzGerald Swords,Michael Lenehan,"Sold, €342,000, Thu Sep 05 2024; Unlisted, €295,000, Fri May 31 2024; Created, €295,000, Wed Mar 27 2024",https://mynest.ie/listing/122333/Dublin/58-holywell-crescent-south-swords-co-dublin
"42 Clonshaugh Avenue, Clonshaugh, Dublin 17, D17FX48","€369,950",3 Bed,1 Bath,Semi-D,B3,D17 FX48,€405,Horan Estates and Lettings,Aidan Horan,"Sold, €392,500, Thu Sep 05 2024; Sale Agreed, €369,950, Fri Feb 09 2024; Created, €369,950, Mon Jan 29 2024",https://mynest.ie/listing/113846/Dublin/42-clonshaugh-avenue-clonshaugh-dublin-17-d17fx48
"42 Clonshaugh Avenue, Clonshaugh, Clonshaugh, Dublin 17, D17FX48","€369,950",3 Bed,1 Bath,Semi-D,B3,D17 FX48,€405,Horan Estates and Lettings,Aidan Horan,"Sold, €392,500, Thu Sep 05 2024; Sale Agreed, €369,950, Thu Apr 04 2024; Created, €369,950, Wed Mar 27 2024",https://mynest.ie/listing/122355/Dublin/42-clonshaugh-avenue-clonshaugh-clonshaugh-dublin-17-d17fx48
"40 Grace Park Manor, Drumcondra, Dublin 9, D09E681","€375,000",2 Bed,1 Bath,Apartment,D2,D09 E681,€405,Ed Dempsey,Edwin Dempsey,"Sold, €390,000, Thu Sep 05 2024; Sale Agreed, €375,000, Mon Jun 10 2024; Created, €375,000, Mon May 13 2024",https://mynest.ie/listing/129932/Dublin/40-grace-park-manor-drumcondra-dublin-9-d09e681
"40 Delwood Road, Castleknock, Dublin 15, D15AT8Y","€645,000",4 Bed,3 Bath,Semi-D,D1,D15 AT8Y,€675,Sherry FitzGerald Castleknock,Julian Cotter,"Sold, €675,000, Thu Sep 05 2024; Sale Agreed, €645,000, Fri Feb 09 2024; Created, €645,000, Thu Feb 01 2024",https://mynest.ie/listing/114433/Dublin/40-delwood-road-castleknock-dublin-15-d15at8y
"4 Seabank Court, Old Golf Links Road, Malahide, Co Dublin, K36XR02","€450,000",1 Bed,--,Semi-D,D2,K36 XR02,€495,Sherry FitzGerald Malahide,Eoghan Keenan,"Sold, €470,000, Thu Sep 05 2024; Sale Agreed, €450,000, Mon Jun 10 2024; Created, €450,000, Wed May 15 2024",https://mynest.ie/listing/130422/Dublin/4-seabank-court-old-golf-links-road-malahide-co-dublin-k36xr02
"4 Cúil Dúin Way, Citywest, Co. Dublin, D24NX4D","€425,000",3 Bed,3 Bath,Townhouse,A3,D24 NX4D,€405,Byrne Malone Estate Agents,Peter Byrne,"Sold, €476,000, Thu Sep 05 2024; Sale Agreed, €425,000, Tue Feb 13 2024; Created, €425,000, Wed Jan 31 2024",https://mynest.ie/listing/114232/Dublin/4-cil-din-way-citywest-co-dublin-d24nx4d
"36 Kempton Heath, Navan Road, Navan Road (D7), Dublin 7, D07T3C1","€625,000",3 Bed,3 Bath,Semi-D,C3,D07 T3C1,€675,REA Fitzgerald Chambers,Sales,"Sold, €674,000, Thu Sep 05 2024; Sale Agreed, €625,000, Fri Apr 12 2024; Created, €625,000, Tue Mar 19 2024",https://mynest.ie/listing/121085/Dublin/36-kempton-heath-navan-road-navan-road-d7-dublin-7-d07t3c1
"30 Pine Court, Blackrock, Co. Dublin, A94K228","€850,000",4 Bed,3 Bath,Detached,E1,A94 K228,€855,DNG Rock Road,Anne-Marie McCabe,"Sold, €910,000, Thu Sep 05 2024; Unlisted, €850,000, Mon Jun 24 2024; Created, €850,000, Mon May 13 2024",https://mynest.ie/listing/129992/Dublin/30-pine-court-blackrock-co-dublin-a94k228
"30 Croydon Green, Marino, Dublin 3, D03K2V0","€550,000",3 Bed,1 Bath,Terrace,B3,D03 K2V0,€585,DNG Fairview,Colum Butterly,"Sold, €620,000, Thu Sep 05 2024; Sale Agreed, €550,000, Fri Mar 22 2024; Created, €550,000, Thu Feb 29 2024",https://mynest.ie/listing/118356/Dublin/30-croydon-green-marino-dublin-3-d03k2v0
"28 Deanstown Park, Finglas West, Finglas, Dublin 11, D11A2Y9","€285,000",3 Bed,1 Bath,Terrace,SI_666,D11 A2Y9,€315,D.P.M Estates,D.P.M Estates,"Sold, €295,500, Thu Sep 05 2024; Unlisted, €285,000, Sat Dec 16 2023; Created, €285,000, Tue Nov 14 2023",https://mynest.ie/listing/105000/Dublin/28-deanstown-park-finglas-west-finglas-dublin-11-d11a2y9
"28 Deanstown Park, Finglas, Dublin 11","€285,000",3 Bed,1 Bath,Terrace,D2,D11 A2Y9,€315,Ray Cooke Auctioneers Finglas,Northside Sales,"Sold, €295,500, Thu Sep 05 2024; Sale Agreed, €285,000, Fri Mar 15 2024; Created, €285,000, Tue Dec 19 2023",https://mynest.ie/listing/108735/Dublin/28-deanstown-park-finglas-dublin-11
"23 Block B, Bellevue, Islandbridge, Dublin 8, D08Y262","€335,000",2 Bed,1 Bath,Apartment,C2,D08 Y262,€315,Auctioneera.ie,Auctioneera Dublin Office*,"Sold, €400,000, Thu Sep 05 2024; Sale Agreed, €335,000, Thu Mar 28 2024; Created, €335,000, Fri Mar 08 2024",https://mynest.ie/listing/119444/Dublin/23-block-b-bellevue-islandbridge-dublin-8-d08y262
